SeqName,CAS1_C0,CAS2_C0,CAS3_C0,LOP1_C0,LOP2_C0,LOP5_C0
TRINITY_DN101298_c0_g2,0,0,0,0,0,0
TRINITY_DN10129_c0_g1,2.76,0,0,0,0,0
TRINITY_DN1012_c0_g2,580.65,94.27,52.98,198.53,191.9,225.83
TRINITY_DN101302_c0_g1,0,0,0,19.26,0,0
TRINITY_DN10130_c0_g1,17.32,3.59,37.96,6.44,2.8,0
TRINITY_DN101311_c0_g1,0,0,0,0,0,0
TRINITY_DN101313_c0_g1,19.31,0,0,0,0,0
TRINITY_DN101315_c0_g1,0,0,0,0,0,0
TRINITY_DN101318_c0_g1,0,0,0,18.14,0,0
TRINITY_DN10131_c0_g1,33.11,36.45,23.2,9.17,23.41,22.55
TRINITY_DN101322_c0_g1,0.95,0,0,81.58,0.93,0
TRINITY_DN101324_c0_g1,12.75,19.87,0,22.27,11.33,37.93
TRINITY_DN101326_c0_g1,0,0,0,0,0,0
TRINITY_DN10132_c0_g1,10.09,7.89,5.26,10594.14,29.6,15.2
TRINITY_DN101338_c0_g1,0,0,0,0,0,0
TRINITY_DN101339_c0_g1,0,0,0,59.94,0,1.72
TRINITY_DN101345_c1_g1,0,0,0,0,0,0
TRINITY_DN10134_c0_g1,35.01,63.71,23.7,14.43,51.96,71.76
TRINITY_DN10134_c1_g1,0,0,0,9.87,0,0
TRINITY_DN101350_c0_g1,0,0,0,0,0,0
TRINITY_DN101351_c0_g1,0,12.78,2.59,5.74,2.74,13.48
TRINITY_DN101353_c0_g1,0,0,0,0,0,0
TRINITY_DN101353_c1_g1,0,0,4.09,0,0,34.75
TRINITY_DN101353_c2_g1,0,2.4,0,168.7,0,5.03
TRINITY_DN10135_c0_g1,62.13,42.04,59.99,13.03,51.03,23.29
TRINITY_DN101368_c0_g1,0,0,0,0,0,0
TRINITY_DN101368_c0_g2,0,0,0,40.41,0,0
TRINITY_DN10136_c0_g1,5.14,7.99,11.1,5.25,5.08,4.9
TRINITY_DN10136_c0_g2,88.67,269.32,366.12,20.38,194.65,252.12
TRINITY_DN10137_c0_g2,0,1.4,0,309.52,1.75,4.29
TRINITY_DN101381_c0_g1,0,0,0,2.45,7.01,0
TRINITY_DN101383_c0_g1,0,0,0,12.32,0,0
TRINITY_DN101387_c0_g2,0,3.5,0,3.92,0,0
TRINITY_DN10138_c0_g1,235.38,260.13,163.7,103.99,235.11,175.52
TRINITY_DN101392_c0_g1,0,0,0,0,0,0
TRINITY_DN101395_c0_g1,0,0,0,0,0,0
TRINITY_DN101397_c0_g1,9.7,3.5,7.09,3.99,1.93,5.58
TRINITY_DN10139_c0_g1,668.18,254.84,113.06,430.39,351,324.74
TRINITY_DN10139_c0_g2,7.52,18.77,44.97,15.27,23.47,19.86
TRINITY_DN1013_c1_g1,104.28,63.71,22.53,76.96,68.72,40.75
TRINITY_DN101402_c0_g1,0,0,0,0,0,0
TRINITY_DN101405_c0_g1,0,0,0,0,0,0
TRINITY_DN101407_c0_g2,0,0,0,37.67,0,0
TRINITY_DN101408_c0_g1,0,0,0,0,0,0
TRINITY_DN101409_c0_g1,0,0,0,0,0,0
TRINITY_DN10140_c0_g1,21.6,0.5,2.5,14.99,8.64,9.93
TRINITY_DN101418_c0_g1,0,0,0,21.15,0,0
TRINITY_DN10141_c0_g1,0,0,0,0,0,0
TRINITY_DN101422_c0_g1,0,0,0,50.98,0,0
TRINITY_DN101422_c0_g2,0,0,0,38.09,0,0
TRINITY_DN101424_c0_g1,0,0,0,0,0,0
TRINITY_DN101428_c0_g1,0,0,0,0,0,0
TRINITY_DN101429_c0_g1,0,0,0,0,0,2.51
TRINITY_DN101432_c0_g1,0,0,0,0,0,0
TRINITY_DN101437_c0_g1,11.42,9.89,1.08,15.34,4.73,11.64
TRINITY_DN10143_c0_g1,3297.52,2508.75,1355.66,1812.93,2329.53,1131.42
TRINITY_DN10143_c1_g1,260.78,168.56,66.83,120.52,139.48,178.46
TRINITY_DN101440_c0_g1,0,0,0,0,0,0
TRINITY_DN101440_c0_g2,0,0,0,0,0,0
TRINITY_DN101443_c0_g1,0,0,0,25.42,0.58,0
TRINITY_DN101447_c0_g1,7.04,11.58,3.59,5.04,13.95,5.7
TRINITY_DN101448_c0_g1,0,0,0,17.58,0,2.57
TRINITY_DN10144_c1_g1,0,0,1.92,0,2.57,3.37
TRINITY_DN101453_c0_g1,0,0,0,0,0,0
TRINITY_DN101455_c0_g1,0,5.29,0,3.92,0,3.74
TRINITY_DN10145_c0_g1,2.09,0,0,2.1,0,2.02
TRINITY_DN10145_c1_g1,484.27,96.56,26.12,50.91,38.82,33.22
TRINITY_DN101460_c0_g1,0,0,0,0,0,0
TRINITY_DN10146_c0_g1,42.15,55.12,11.85,17.02,23.94,35.85
TRINITY_DN101471_c0_g1,0,0,0,0,0,0
TRINITY_DN101473_c0_g1,0,0,0,2.87,0,0
TRINITY_DN10147_c0_g2,8.85,0,50.98,3.36,0,11.28
TRINITY_DN10147_c0_g3,8.75,15.88,0,0,0,4.17
TRINITY_DN10147_c0_g4,31.87,0,3.75,0,0,0
TRINITY_DN101487_c0_g1,0,0,0,109.31,0,0
TRINITY_DN101489_c0_g1,0,0,0,0,0,0
TRINITY_DN10148_c0_g1,0.86,0.8,3.34,3.15,3.04,0
TRINITY_DN101493_c0_g1,0,0,0,13.59,0,0
TRINITY_DN101494_c0_g1,0,0,0,0,0,0
TRINITY_DN101498_c0_g1,0,0,0,20.03,0,0
TRINITY_DN10149_c0_g1,63.84,19.37,9.6,167.08,36.31,20.22
TRINITY_DN1014_c0_g1,0,4.29,1.42,0,0,1.04
TRINITY_DN101505_c0_g1,0,0,0,0,0,0
TRINITY_DN101513_c0_g1,0,0,0,0,0,0
TRINITY_DN101517_c0_g1,0,0,0,24.93,0,0
TRINITY_DN101518_c0_g1,0,0,0,0,0,0
TRINITY_DN101523_c1_g1,0,0,7.09,0,0,22.68
TRINITY_DN101527_c0_g2,0,0,0,17.44,0,0
TRINITY_DN101528_c0_g1,31.68,8.89,0,4.97,26.27,0
TRINITY_DN101534_c0_g1,0,0,0,0,0,0
TRINITY_DN10153_c0_g1,9.99,12.68,25.61,10.15,29.72,9.56
TRINITY_DN101544_c0_g1,0,0,0,35.15,0,0
TRINITY_DN101547_c0_g1,0,0,0,21.85,0,0
TRINITY_DN101548_c0_g1,0,0,2.59,0,0,0
TRINITY_DN101549_c0_g1,0,0,0,0,0,0
TRINITY_DN101549_c0_g2,0,0,0,36.76,0,0
TRINITY_DN101555_c0_g1,0,0,0,0,0,0
TRINITY_DN10155_c0_g1,0,0,0,0.7,0,0
TRINITY_DN101564_c0_g1,7.71,6.29,0,2.66,8.47,14.16
TRINITY_DN10156_c0_g1,2.38,0,2.25,0,0.93,0
TRINITY_DN101575_c0_g1,0,0,0,12.46,0,0
TRINITY_DN10157_c0_g1,536.03,208.8,269.66,130.32,131.89,111.11
TRINITY_DN10157_c1_g1,0,0,0,0,0,0
TRINITY_DN101581_c0_g1,0,0,0,0,0,0
TRINITY_DN101583_c0_g1,0,0,0,24.58,0,0
TRINITY_DN10159_c0_g1,0,0,0,0.35,0,0
TRINITY_DN1015_c0_g1,320.34,105.85,172.46,96.99,183.03,129.12
TRINITY_DN1015_c0_g2,143.47,82.68,51.48,52.52,111.92,95.97
TRINITY_DN1015_c0_g3,268.97,177.05,129.08,214.49,106.61,129.19
TRINITY_DN1015_c1_g1,44.15,20.27,31.87,17.58,33.98,23.35
TRINITY_DN1015_c3_g1,0,19.87,3.34,4.62,11.62,0
TRINITY_DN101604_c0_g1,0,0,0,0,0,0
TRINITY_DN101605_c0_g1,0,0,0,53.57,0,0
TRINITY_DN101611_c0_g1,0,0,0,0,0,0
TRINITY_DN101612_c0_g1,4.28,0,0,0,0,4.11
TRINITY_DN101626_c0_g1,0,0,0,0,0,0
TRINITY_DN10162_c0_g1,808.04,872.87,1137.98,450.7,389.76,336.63
TRINITY_DN10162_c1_g1,0,0,0,0,0,0
TRINITY_DN101630_c0_g1,0,0,0,25.84,0,0
TRINITY_DN101642_c0_g2,0,0,0,0,0,0
TRINITY_DN101646_c0_g1,0,0,0,36.76,0,0
TRINITY_DN101647_c0_g1,0,0,0,0,0,0
TRINITY_DN10164_c0_g1,3.14,10.09,6.59,23.81,41.57,1.84
TRINITY_DN10164_c1_g1,0,0,0,0,0,0
TRINITY_DN10164_c1_g2,0,0,0,0,0,0
TRINITY_DN10165_c0_g1,0,0,0,0,0,0
TRINITY_DN101667_c0_g1,0,0,0,0,0,0
TRINITY_DN101668_c0_g1,0,0,0,0,0,0
TRINITY_DN101669_c0_g1,0,0,0,18.84,0,0
TRINITY_DN101672_c0_g1,0,0,0,0,0,0
TRINITY_DN101673_c0_g1,0,0,0,0,0,0
TRINITY_DN101677_c0_g1,11.42,5.19,0,0,0,0
TRINITY_DN1016_c0_g1,5.8,0.7,0.75,1.26,0.82,1.1
TRINITY_DN101700_c0_g1,0,0,0,0,0,0
