,CAS1_C0,CAS2_C0,CAS3_C0,LOP1_C0,LOP2_C0,LOP5_C0
CORRUBR2A031201,454,322,348,285,284,228
CORRUBR2A031204,141,83,115,52,82,30
CORRUBR2A031205,505,207,226,317,317,252
CORRUBR2A031206,151,163,288,74,47,33
CORRUBR2A031208,405,108,279,72,326,156
CORRUBR2A031211,125,260,118,41,1232,92
CORRUBR2A031212,1885,1836,1117,414,607,702
CORRUBR2A031213,6,0,0,0,5,5
CORRUBR2A031215,1321,359,522,590,545,458
CORRUBR2A031221,1194,160,1531,1715,1902,1579
CORRUBR2A031224,9,6,1,4,2,2
CORRUBR2A031225,0,7,0,0,13,0
CORRUBR2A031227,0,8,4,6,9,4
CORRUBR2A031229,0,6,25,22,33,85
CORRUBR2A031233,1494,1043,984,1346,1375,1603
CORRUBR2A031236,16,5,12,6,23,17
CORRUBR2A031239,22,15,6,11,12,16
CORRUBR2A031241,380,207,375,219,41,327
CORRUBR2A031242,613,425,341,416,524,422
CORRUBR2A031244,31,24,18,22,30,28
CORRUBR2A031245,409,315,214,194,234,212
CORRUBR2A031247,272876,465701,285308,128496,201020,208729
CORRUBR2A031250,1225,1048,1115,497,702,689
CORRUBR2A031255,0,5,38,2,29,0
CORRUBR2A031257,98,24,3,31,15,45
CORRUBR2A031259,10,10,5,18,12,11
CORRUBR2A031261,447,137,212,201,104,122
CORRUBR2A031263,846,1182,904,603,687,700
CORRUBR2A031264,143,173,94,68,62,132
CORRUBR2A031267,258,385,212,214,226,207
CORRUBR2A031269,1368,921,496,686,580,681
CORRUBR2A031274,19,30,7,21,16,0
CORRUBR2A031276,458,257,259,190,148,58
CORRUBR2A031277,62,106,22,75,101,57
CORRUBR2A031278,48,39,6,55,24,26
CORRUBR2A031282,380,512,997,175,209,218
CORRUBR2A031283,210,180,88,93,74,104
CORRUBR2A031284,166,107,47,71,245,160
CORRUBR2A031287,1163,669,688,410,684,791
CORRUBR2A031289,253,141,125,109,122,106
CORRUBR2A031292,441,145,74,109,140,114
CORRUBR2A031293,953,228,92,531,627,317
CORRUBR2A031297,114,129,95,141,106,151
CORRUBR2A031299,320,469,282,219,1,1445
CORRUBR2A031301,1105,809,866,879,907,864
CORRUBR2A031302,932,130,111,185,208,145
CORRUBR2A031305,1352,285,546,361,365,369
CORRUBR2A031307,590,428,371,422,470,369
CORRUBR2A031309,521,327,251,313,413,545
CORRUBR2A031311,1841,524,702,415,380,191
CORRUBR2A031313,498,150,88,562,139,205
CORRUBR2A031318,228,494,525,334,272,241
CORRUBR2A031321,277,26,58,37,17,20
CORRUBR2A031323,84,30,21,30,19,15
CORRUBR2A031324,69,28,20,26,25,22
CORRUBR2A031325,1,0,10,0,20,8
CORRUBR2A031326,103,163,133,63,54,114
CORRUBR2A031328,1433,1173,762,601,729,782
CORRUBR2A031330,4,33,7,2,11,5
CORRUBR2A031333,2522,2054,1356,1799,2267,3967
CORRUBR2A031336,36,37,40,31,15,35
CORRUBR2A031338,184,135,112,69,108,112
CORRUBR2A031339,143,59,166,123,112,121
CORRUBR2A031347,408,211,360,210,331,473
CORRUBR2A031351,3,13,4,2,11,4
CORRUBR2A031362,43,30,16,14,31,17
CORRUBR2A031365,605,626,397,403,594,670
CORRUBR2A031368,3,1,2,4,0,5
CORRUBR2A031369,1668,1561,864,1414,1521,1885
CORRUBR2A031372,100,52,30,82,50,58
CORRUBR2A031378,100,87,151,106,35,88
CORRUBR2A031380,368,206,266,955,367,441
CORRUBR2A031382,111,103,70,65,114,95
CORRUBR2A031383,7,9,4,20,6,30
CORRUBR2A031387,55,9,30,12,19,8
CORRUBR2A031389,2,0,122,0,10,0
CORRUBR2A031390,675,567,486,439,401,318
CORRUBR2A031392,472,365,763,426,265,407
CORRUBR2A031394,1601,857,1443,597,628,555
CORRUBR2A031396,3738,3643,3663,1080,1556,2132
CORRUBR2A031397,2,22,20,0,2,1
CORRUBR2A031398,26,14,0,0,60,8
CORRUBR2A031401,384,240,220,210,150,118
CORRUBR2A031404,372,261,392,148,100,131
CORRUBR2A031405,144,77,39,73,106,75
CORRUBR2A031408,2017,1608,2499,1007,733,767
CORRUBR2A031409,70,46,31,42,74,79
CORRUBR2A031411,302,238,326,198,147,111
CORRUBR2A031413,159,43,48,38,36,59
CORRUBR2A031414,46,44,32,36,56,37
CORRUBR2A031415,107,42,28,39,140,74
CORRUBR2A031416,45,32,5,39,80,31
CORRUBR2A031417,499,517,424,291,294,169
CORRUBR2A031419,250,295,144,124,169,188
CORRUBR2A031420,96,49,37,57,52,44
CORRUBR2A031422,898,498,612,351,289,338
CORRUBR2A031423,23,27,16,20,24,24
CORRUBR2A031424,595,322,242,239,296,261
CORRUBR2A031425,837,254,227,226,298,254
CORRUBR2A031427,9,34,10,4,1,0
CORRUBR2A031429,239,304,96,231,208,236
CORRUBR2A031432,120,179,118,63,111,98
CORRUBR2A031435,759,482,276,265,399,267
CORRUBR2A031436,28,11,17,8,9,10
CORRUBR2A031438,248,63,24,33,30,43
CORRUBR2A031441,362,379,165,197,267,115
CORRUBR2A031442,757,510,831,328,470,323
CORRUBR2A031448,133,82,49,47,58,70
CORRUBR2A031451,229,276,244,137,190,268
CORRUBR2A031453,156,120,71,72,97,69
CORRUBR2A031457,170,149,228,126,126,185
CORRUBR2A031458,821,518,506,334,429,370
CORRUBR2A031466,1288,927,1169,1000,1137,1137
CORRUBR2A031468,7686,7462,10513,4756,6442,5262
CORRUBR2A031470,277,228,204,214,184,162
CORRUBR2A031471,460,539,259,298,384,319
CORRUBR2A031472,12,23,12,6,18,11
CORRUBR2A031474,15333,13642,15255,11576,12227,12278
CORRUBR2A031478,5,13,2,4,4,13
CORRUBR2A031483,1792,1433,1558,1512,1808,1878
CORRUBR2A031486,1506,1193,1043,687,890,879
CORRUBR2A031487,9,12,8,2,10,5
CORRUBR2A031489,154,99,363,112,116,85
CORRUBR2A031493,82,48,37,34,66,77
CORRUBR2A031496,1859,1772,663,998,1436,2332
CORRUBR2A031498,185,116,108,86,152,56
CORRUBR2A031500,322,394,300,138,262,389
CORRUBR2A031502,287,212,110,108,140,72
CORRUBR2A031503,574,279,180,233,220,171
CORRUBR2A031504,62,2,0,4,4,0
CORRUBR2A031506,0,33,0,0,49,0
CORRUBR2A031510,3,4,16,0,1,2
CORRUBR2A031511,520,1030,482,731,694,736
CORRUBR2A031514,23,23,29,275,44,126
CORRUBR2A031517,0,0,0,51,0,0
CORRUBR2A031519,1965,2207,3637,1438,1638,1750
CORRUBR2A031520,280,165,257,218,231,335
CORRUBR2A031521,111,31,24,57,116,26
CORRUBR2A031523,697,345,231,435,417,374
CORRUBR2A031528,360,68,23,154,61,71
CORRUBR2A031530,7,15,1,0,2,1
CORRUBR2A031532,1307,854,1546,496,476,530
CORRUBR2A031533,538,396,427,253,325,301
CORRUBR2A031534,721,192,676,471,171,500
CORRUBR2A031535,54,32,22,8,27,21
CORRUBR2A031538,408,177,162,221,123,144
CORRUBR2A031539,49,39,25,27,59,10
CORRUBR2A031541,200,67,99,85,96,62
CORRUBR2A031542,851,565,372,348,486,489
CORRUBR2A031543,59,32,8,20,26,20
CORRUBR2A031547,7161,5167,5765,3525,3595,3887
CORRUBR2A031550,35,46,30,47,150,43
CORRUBR2A031551,1795,1371,913,758,992,1028
CORRUBR2A031555,188345,221005,134111,21507,21225,17100
CORRUBR2A031557,704,131,191,84,124,90
CORRUBR2A031558,307,80,40,152,81,57
CORRUBR2A031559,126,41,62,50,95,46
CORRUBR2A031560,487,546,468,378,345,340
CORRUBR2A031562,97,8,10,28,41,50
CORRUBR2A031565,438,109,203,126,100,186
CORRUBR2A031566,404,285,257,181,262,206
CORRUBR2A031568,3139,1003,1151,571,694,683
CORRUBR2A031570,60,106,60,72,34,33
CORRUBR2A031571,87,139,73,53,149,155
CORRUBR2A031572,0,50,73,27,39,8
CORRUBR2A031573,9392,11680,13699,4651,6972,8011
CORRUBR2A031574,882,668,380,318,485,834
CORRUBR2A031577,56,69,72,52,84,46
CORRUBR2A031578,260,241,251,149,183,202
CORRUBR2A031579,10988,11053,6034,3887,6587,9838
CORRUBR2A031581,1330,673,1358,562,385,474
CORRUBR2A031582,51,45,18,29,54,40
CORRUBR2A031585,232,132,73,126,157,126
CORRUBR2A031587,89,21,20,54,39,35
CORRUBR2A031588,8,6,27,9,8,12
CORRUBR2A031589,1,13,1,5,11,7
CORRUBR2A031590,827,580,368,379,561,518
CORRUBR2A031592,47,10,25,0,0,6
CORRUBR2A031593,25,37,3,38,20,47
CORRUBR2A031594,52,71,111,92,53,33
CORRUBR2A031597,652,323,227,181,189,246
CORRUBR2A031601,232,610,348,313,508,407
CORRUBR2A031603,288,40,52,45,27,49
CORRUBR2A031607,52,66,12,34,52,60
CORRUBR2A031614,150,122,65,100,160,134
CORRUBR2A031615,442,147,132,143,212,209
CORRUBR2A031621,537,382,391,279,254,135
CORRUBR2A031625,30,51,22,16,23,36
CORRUBR2A031631,343,296,109,220,235,269
CORRUBR2A031635,771,458,1342,277,175,361
CORRUBR2A031636,11,11,9,11,18,6
CORRUBR2A031638,4,7,1,1,1,13
CORRUBR2A031639,33,28,28,39,32,50
CORRUBR2A031640,21,24,21,9,10,5
CORRUBR2A031642,0,0,1,0,2,8
CORRUBR2A031647,17,14,7,1,18,14
CORRUBR2A031652,186,133,159,129,133,88
CORRUBR2A031656,245,117,111,74,106,70
CORRUBR2A031663,277,205,169,98,121,125
CORRUBR2A031664,325,145,109,143,235,131
CORRUBR2A031667,1205,436,284,459,430,516
CORRUBR2A031669,818,1282,1442,650,905,1364
CORRUBR2A031670,37439,30815,50419,14526,10938,20907
CORRUBR2A031672,1900,2318,2094,1196,1553,1476
CORRUBR2A031674,9,16,4,3,7,4
CORRUBR2A031676,1,0,0,0,1,0
CORRUBR2A031679,17,9,3,5,10,7
CORRUBR2A031681,249,319,655,99,320,641
CORRUBR2A031683,5,25,13,34,33,27
CORRUBR2A031685,9915,5551,11735,8620,6189,3508
CORRUBR2A031686,303,109,90,115,89,97
CORRUBR2A031688,0,11,2,0,6,0
CORRUBR2A031691,38,32,126,29,100,141
CORRUBR2A031694,4,3,4,6,3,19
CORRUBR2A031698,73,117,35,28,48,32
CORRUBR2A031699,87,72,54,32,102,139
CORRUBR2A031704,8,35,7,12,11,2
CORRUBR2A031705,134,211,192,94,121,215
CORRUBR2A031708,523,410,200,390,346,290
CORRUBR2A031712,189,181,46,233,163,174
CORRUBR2A031715,906,436,901,470,535,214
CORRUBR2A031716,304,91,68,58,89,43
CORRUBR2A031720,9,5,2,10,8,5
CORRUBR2A031721,270,111,85,128,173,95
CORRUBR2A031722,84,82,94,100,179,54
CORRUBR2A031723,108,164,99,137,124,145
CORRUBR2A031724,51,62,34,27,34,10
CORRUBR2A031726,108,96,67,53,83,102
CORRUBR2A031727,3770,3908,8837,1334,2027,1977
CORRUBR2A031730,35,61,0,0,2,90
CORRUBR2A031732,375,124,87,111,168,170
CORRUBR2A031736,4937,5651,5833,3808,3371,3501
CORRUBR2A031743,1,0,0,0,0,1
CORRUBR2A031745,34816,49674,43361,23111,21049,23383
CORRUBR2A031747,630,453,463,240,322,200
CORRUBR2A031749,785,323,185,210,242,227
CORRUBR2A031750,0,54,0,3,0,0
CORRUBR2A031754,41,28,22,4,18,29
CORRUBR2A031757,323,147,109,120,178,183
CORRUBR2A031758,869,692,258,821,655,762
CORRUBR2A031759,13,5,5,4,8,3
CORRUBR2A031760,969,532,79,374,235,202
CORRUBR2A031763,7,5,3,12,7,10
CORRUBR2A031764,177,137,529,69,29,84
CORRUBR2A031765,87,333,307,262,153,100
CORRUBR2A031766,359,221,194,131,172,168
CORRUBR2A031767,645,358,349,357,375,347
CORRUBR2A031769,45,42,24,25,25,26
CORRUBR2A031770,2877,2706,2327,1704,1819,1496
CORRUBR2A031772,351,770,303,712,605,467
CORRUBR2A031773,5,14,5,5,26,7
CORRUBR2A031774,63,93,59,36,48,114
CORRUBR2A031776,190,170,131,93,187,163
CORRUBR2A031779,388,168,153,231,184,186
CORRUBR2A031780,487,239,99,121,63,39
CORRUBR2A031783,83,282,205,153,122,87
CORRUBR2A031784,127,89,76,66,40,60
CORRUBR2A031786,842,1253,498,860,782,570
CORRUBR2A031788,313,183,231,162,159,159
CORRUBR2A031790,6,7,11,5,4,9
CORRUBR2A031792,1852,1014,2109,649,731,735
CORRUBR2A031793,53,68,26,60,61,47
CORRUBR2A031796,91,128,46,34,74,70
CORRUBR2A031797,454,196,94,140,129,112
CORRUBR2A031798,2268,1146,603,705,696,700
CORRUBR2A031801,105,47,10,21,13,15
CORRUBR2A031802,27,24,4,9,4,5
CORRUBR2A031804,202,95,93,111,168,130
CORRUBR2A031805,208,226,190,117,104,104
CORRUBR2A031808,141,88,198,106,113,92
CORRUBR2A031809,350,259,149,214,229,268
CORRUBR2A031810,0,0,17,0,51,31
CORRUBR2A031813,4,0,5,6,131,6
CORRUBR2A031816,94,123,99,77,131,66
CORRUBR2A031817,167,184,73,288,229,272
CORRUBR2A031822,188,142,224,203,168,317
CORRUBR2A031825,86,24,41,37,31,34
CORRUBR2A031828,0,6,0,1,7,8
CORRUBR2A031831,980,746,1105,544,666,603
CORRUBR2A031834,68,30,33,40,75,34
CORRUBR2A031840,300,344,1081,99,105,181
CORRUBR2A031841,242,291,284,105,49,128
CORRUBR2A031842,2170,1876,301,1038,1413,1289
CORRUBR2A031843,548,178,143,161,156,142
CORRUBR2A031844,4,2,4,0,8,16
CORRUBR2A031845,385,249,224,175,216,273
CORRUBR2A031847,3027,2645,2641,1421,1658,1608
CORRUBR2A031850,328,92,190,91,39,27
CORRUBR2A031852,303,174,90,119,170,164
CORRUBR2A031853,11,36,0,0,2,3
CORRUBR2A031854,114,57,49,66,49,41
CORRUBR2A031857,1,0,3,8,0,0
CORRUBR2A031859,723,304,142,252,305,281
CORRUBR2A031860,299,401,259,137,165,270
CORRUBR2A031861,2107,1975,2145,919,964,1774
CORRUBR2A031862,88,56,18,18,42,37
CORRUBR2A031864,22,14,86,140,25,69
CORRUBR2A031867,311,228,254,412,326,244
CORRUBR2A031869,1,6,13,2,8,7
CORRUBR2A031872,776,317,420,249,153,226
CORRUBR2A031873,7,29,4,7,10,28
CORRUBR2A031875,67,73,38,116,151,126
CORRUBR2A031878,1021,1136,583,597,1337,1952
CORRUBR2A031880,104,192,18,16,119,15
CORRUBR2A031881,3288,1320,1851,1001,1123,968
CORRUBR2A031884,6,97,146,82,138,115
CORRUBR2A031888,397,2791,934,817,483,1260
CORRUBR2A031892,5,7,2,7,2,0
CORRUBR2A031898,3724,3715,2782,2073,1902,2759
CORRUBR2A031899,97,169,119,93,95,130
CORRUBR2A031900,5,30,17,3,16,13
CORRUBR2A031901,50,50,149,31,56,46
CORRUBR2A031905,939,652,500,811,602,693
CORRUBR2A031907,225,182,213,137,250,221
CORRUBR2A031908,54,10,13,6,20,15
CORRUBR2A031909,9,11,11,5,8,0
CORRUBR2A031912,413,580,0,0,1,39
CORRUBR2A031915,37,33,48,2,39,0
CORRUBR2A031916,346,154,125,118,129,139
CORRUBR2A031918,7,13,13,11,31,12
CORRUBR2A031925,263,193,201,180,88,168
CORRUBR2A031926,198,133,129,117,124,232
CORRUBR2A031928,1318,954,720,804,679,612
CORRUBR2A031929,471,97,56,114,126,109
CORRUBR2A031931,1470,2537,2889,1052,922,668
CORRUBR2A031935,984,995,625,579,541,571
CORRUBR2A031936,346,214,279,182,231,213
CORRUBR2A031937,50,31,26,37,30,13
CORRUBR2A031939,235,151,89,100,158,89
CORRUBR2A031940,5,10,1,1,2,0
CORRUBR2A031945,751,456,266,243,330,315
CORRUBR2A031946,17,32,18,21,28,51
CORRUBR2A031950,467,444,187,262,588,396
CORRUBR2A031953,89,62,47,71,45,73
CORRUBR2A031954,288,144,19,86,98,63
CORRUBR2A031961,32,34,24,11,13,25
CORRUBR2A031962,195,273,42,105,144,99
CORRUBR2A031965,143,1,30,1,134,79
CORRUBR2A031966,450,154,113,109,188,124
CORRUBR2A031967,444,804,499,445,574,660
CORRUBR2A031968,527,169,151,139,218,257
CORRUBR2A031969,279,438,177,184,225,209
CORRUBR2A031973,622,285,246,178,226,232
CORRUBR2A031974,53,29,27,19,38,16
CORRUBR2A031975,5,6,1,3,6,0
CORRUBR2A031976,577,565,410,332,269,270
CORRUBR2A031980,174,348,108,61,149,164
CORRUBR2A031983,1571,1591,1616,1367,1759,1345
CORRUBR2A031984,15,13,3,7,17,2
CORRUBR2A031987,18,18,6,23,24,6
CORRUBR2A031988,9,18,9,0,1,0
CORRUBR2A031991,266,322,292,135,183,86
CORRUBR2A031992,2370,439,79,327,270,357
CORRUBR2A031993,5,6,4,4,0,0
CORRUBR2A031995,316,240,196,167,125,168
CORRUBR2A031996,3234,4859,3796,1919,2868,3827
CORRUBR2A031997,1847,871,760,621,635,654
CORRUBR2A032001,41,22,0,24,24,52
CORRUBR2A032003,59,43,3,12,58,34
CORRUBR2A032006,20,4,7,15,31,11
CORRUBR2A032008,169,127,83,118,107,107
CORRUBR2A032011,19,49,24,7,31,24
CORRUBR2A032014,70,55,27,35,36,34
CORRUBR2A032016,604,453,390,132,403,193
CORRUBR2A032018,3698,2084,1878,1635,1706,1470
CORRUBR2A032023,37,40,22,28,5,21
CORRUBR2A032027,60,31,0,1121,144,371
CORRUBR2A032028,0,1,3,28,0,3
CORRUBR2A032030,1367,867,508,735,897,837
CORRUBR2A032033,337,347,167,294,284,289
CORRUBR2A032035,26,0,0,0,0,4
CORRUBR2A032038,147,62,62,83,89,67
CORRUBR2A032039,714,310,224,258,245,239
CORRUBR2A032042,0,4740,4,0,2906,10
CORRUBR2A032044,464,213,169,248,239,213
CORRUBR2A032046,4,0,0,3,127,2
CORRUBR2A032047,169,128,43,101,97,85
CORRUBR2A032048,433,106,82,163,114,114
CORRUBR2A032053,10,11,2,5,7,15
CORRUBR2A032055,986,898,451,682,207,592
CORRUBR2A032058,30,12,2,10,13,13
CORRUBR2A032063,57,79,64,57,47,28
CORRUBR2A032064,358,348,410,254,684,523
CORRUBR2A032065,118,49,54,26,35,31
CORRUBR2A032067,472,415,463,423,464,453
CORRUBR2A032069,561,239,109,180,276,282
CORRUBR2A032073,392,503,174,219,453,432
CORRUBR2A032076,184,80,21,49,36,21
CORRUBR2A032077,102,59,61,70,123,72
CORRUBR2A032078,505,366,176,324,213,250
CORRUBR2A032083,1505,792,805,478,663,544
CORRUBR2A032086,313,257,1136,311,150,93
CORRUBR2A032088,144,79,38,87,114,81
CORRUBR2A032090,1292,928,638,1042,1109,877
CORRUBR2A032092,447,87,23,120,99,108
CORRUBR2A032094,4635,1919,1280,1405,1766,2245
CORRUBR2A032095,901,663,449,674,474,525
CORRUBR2A032097,6221,3580,2965,3086,2902,3391
CORRUBR2A032098,5146,5720,1905,1719,3764,3790
CORRUBR2A032114,198,130,173,38,86,83
CORRUBR2A032115,1652,1664,807,852,859,891
CORRUBR2A032119,450,116,30,60,27,40
CORRUBR2A032123,179,102,67,91,143,105
CORRUBR2A032124,544,857,822,253,327,550
CORRUBR2A032127,60,309,144,74,78,221
CORRUBR2A032129,216,169,39,61,97,223
CORRUBR2A032131,33,7,5,9,0,0
CORRUBR2A032135,35,50,59,67,55,61
CORRUBR2A032136,872,597,501,483,631,504
CORRUBR2A032137,411,256,214,92,98,235
CORRUBR2A032138,359,489,304,295,406,482
CORRUBR2A032141,973,699,661,259,469,571
CORRUBR2A032142,100,71,51,41,68,64
CORRUBR2A032145,53,42,18,67,70,50
CORRUBR2A032147,65,18,5,10,32,26
CORRUBR2A032149,1545,1569,1437,1079,1009,900
CORRUBR2A032150,299,317,246,240,337,330
CORRUBR2A032155,625,204,297,123,165,162
CORRUBR2A032157,401,0,0,35,38,0
CORRUBR2A032158,234,431,133,508,528,317
CORRUBR2A032159,600,523,332,293,343,325
CORRUBR2A032160,238,247,70,78,138,178
CORRUBR2A032163,690,649,1625,310,227,358
CORRUBR2A032164,62,65,46,100,18,90
CORRUBR2A032165,934,618,533,747,783,863
CORRUBR2A032170,416,187,106,112,140,120
CORRUBR2A032171,227,76,38,67,75,52
CORRUBR2A032172,335,337,181,134,140,135
CORRUBR2A032174,368,626,452,170,272,390
CORRUBR2A032177,12,5,5,9,9,16
CORRUBR2A032178,75,86,102,90,84,75
CORRUBR2A032179,0,31,0,0,0,0
CORRUBR2A032181,115,222,99,150,170,218
CORRUBR2A032186,113,0,0,7,8,0
CORRUBR2A032187,649,295,211,224,260,269
CORRUBR2A032190,60,11,12,10,9,2
CORRUBR2A032192,11,29,13,0,23,26
CORRUBR2A032193,25,23,10,12,3,0
CORRUBR2A032196,302,298,359,160,166,304
CORRUBR2A032197,9,4,9,0,3,12
CORRUBR2A032201,60,38,44,48,43,37
CORRUBR2A032203,733,786,856,604,783,579
CORRUBR2A032205,186,166,171,76,107,114
CORRUBR2A032207,1,106,168,101,177,26
CORRUBR2A032208,3131,2437,1293,1691,1832,1940
CORRUBR2A032210,6108,5264,7080,2179,1979,2854
CORRUBR2A032211,1702,1525,1436,670,808,1100
CORRUBR2A032212,29,38,10,15,30,18
CORRUBR2A032213,178,161,68,175,287,200
CORRUBR2A032216,1,2,51,1,193,67
CORRUBR2A032219,812,259,192,178,236,168
CORRUBR2A032220,74,30,14,16,6,23
CORRUBR2A032222,176,274,436,210,159,158
CORRUBR2A032225,22,36,29,8,17,10
CORRUBR2A032226,1619,1833,2737,982,773,742
CORRUBR2A032228,18,28,8,12,21,4
CORRUBR2A032230,275,219,396,189,240,205
CORRUBR2A032231,1229,594,448,457,433,487
CORRUBR2A032233,21234,32700,27763,16672,14576,14009
CORRUBR2A032234,3085,195,71,426,317,101
CORRUBR2A032235,487,267,423,151,158,170
CORRUBR2A032236,11,113,9,10,4,15
CORRUBR2A032237,404,373,383,392,412,586
CORRUBR2A032238,9,6,5,11,12,7
CORRUBR2A032241,140,77,47,58,33,95
CORRUBR2A032245,445,257,224,84,172,228
CORRUBR2A032247,80,162,167,56,31,12
CORRUBR2A032249,40,31,8,26,30,9
CORRUBR2A032252,6,13,0,5,11,11
CORRUBR2A032254,48,9,3,2,7,8
CORRUBR2A032255,2,69,0,0,0,0
CORRUBR2A032257,13002,17738,11822,9387,7338,8274
CORRUBR2A032259,36,98,51,133,128,89
CORRUBR2A032260,16,29,21,5,20,11
CORRUBR2A032261,370,95,373,130,130,267
CORRUBR2A032263,922,507,492,381,528,673
CORRUBR2A032264,0,1,17,1,7,2
CORRUBR2A032266,0,0,0,12,13,5
CORRUBR2A032268,515,172,325,207,194,205
CORRUBR2A032270,96,57,40,109,75,93
CORRUBR2A032271,54,78,75,50,91,82
CORRUBR2A032272,0,0,4,1,0,4
CORRUBR2A032274,1707,1063,520,439,962,591
CORRUBR2A032277,615,686,641,469,866,892
CORRUBR2A032281,36,1,7,9,1,12
CORRUBR2A032282,26,149,38,1241,70,184
CORRUBR2A032284,121,75,53,99,69,62
CORRUBR2A032286,1197,793,179,911,995,921
CORRUBR2A032288,5308,5255,11274,3336,1650,1891
CORRUBR2A032290,0,5,0,0,8,0
CORRUBR2A032291,70,7,3,2,10,11
CORRUBR2A032293,139,61,73,50,118,117
CORRUBR2A032295,814,510,215,214,197,393
CORRUBR2A032296,76,97,66,29,77,65
CORRUBR2A032297,411,245,224,128,325,357
CORRUBR2A032298,4,23,2,15,9,32
CORRUBR2A032299,457,136,64,145,99,126
CORRUBR2A032302,133,135,75,228,176,95
CORRUBR2A032305,19,0,2,7,17,3
CORRUBR2A032306,19,8,7,11,10,6
CORRUBR2A032309,346,268,409,81,122,60
CORRUBR2A032310,46,43,45,43,48,36
CORRUBR2A032313,385,281,240,334,411,310
CORRUBR2A032315,1713,1524,1169,975,1158,1205
CORRUBR2A032318,2777,2886,3075,1063,708,758
CORRUBR2A032321,771,837,575,513,397,512
CORRUBR2A032323,4,10,1934,209,783,69
CORRUBR2A032324,305,467,349,284,475,242
CORRUBR2A032325,3,6,0,2,0,0
CORRUBR2A032329,1009,51,30,133,140,132
CORRUBR2A032331,2269,1959,2462,1777,1830,1483
CORRUBR2A032332,863,387,460,279,228,194
CORRUBR2A032333,49,94,53,60,64,82
CORRUBR2A032337,3,0,2,1,0,5
CORRUBR2A032338,2591,1933,1992,1267,1427,1500
CORRUBR2A032339,1868,978,694,692,1146,1036
CORRUBR2A032341,5,3,1,0,8,0
CORRUBR2A032342,92,211,132,172,91,78
CORRUBR2A032343,3,70,9,0,4,0
CORRUBR2A032347,690,421,237,388,268,298
CORRUBR2A032352,136,114,99,225,341,186
CORRUBR2A032353,269,149,160,193,166,217
CORRUBR2A032355,0,12,0,3,5,0
CORRUBR2A032358,161,112,79,99,94,92
CORRUBR2A032359,85,77,73,40,53,36
CORRUBR2A032360,5,4,3,0,2,4
CORRUBR2A032362,6,0,1,2,7,1
CORRUBR2A032364,323,223,158,125,174,260
CORRUBR2A032367,565,526,286,290,546,420
CORRUBR2A032369,1323,996,586,701,507,749
CORRUBR2A032372,282,310,243,118,102,117
CORRUBR2A032373,584,300,265,285,329,369
CORRUBR2A032376,1742,2068,1631,1567,1234,1276
CORRUBR2A032379,134,310,390,141,126,85
CORRUBR2A032381,52,50,58,16,23,22
CORRUBR2A032382,4,61,7,1,16,57
CORRUBR2A032384,0,11,3,0,0,0
CORRUBR2A032387,192,82,114,54,110,59
CORRUBR2A032390,10,34,7,9,14,13
CORRUBR2A032391,62,275,266,92,136,123
CORRUBR2A032393,65,16,29,70,37,12
CORRUBR2A032394,260,189,259,114,114,90
CORRUBR2A032395,404,565,356,248,406,417
CORRUBR2A032397,55,28,100,36,39,16
CORRUBR2A032399,98,64,34,27,42,16
CORRUBR2A032400,70,57,42,71,51,53
CORRUBR2A032401,5684,5489,3479,4006,3907,4023
CORRUBR2A032402,625,627,724,1013,891,1133
CORRUBR2A032404,0,155,116,156,68,0
CORRUBR2A032408,728,72,46,94,129,31
CORRUBR2A032409,420,289,305,260,454,389
CORRUBR2A032410,0,9,4,3,0,3
CORRUBR2A032411,1408,929,1214,664,572,481
CORRUBR2A032413,251,37,10,58,84,74
CORRUBR2A032414,2,41,58,13,18,14
CORRUBR2A032415,10,4,0,5,4,15
CORRUBR2A032417,798,504,310,372,429,353
CORRUBR2A032418,19650,16937,12511,5935,6180,15190
CORRUBR2A032419,1272,1848,1178,1214,1570,2108
CORRUBR2A032421,12,24,8,11,7,6
CORRUBR2A032422,698,667,525,653,431,510
CORRUBR2A032423,115,70,69,76,47,51
CORRUBR2A032427,186,299,223,200,280,393
CORRUBR2A032428,164,129,277,66,112,70
CORRUBR2A032429,298,242,311,143,87,149
CORRUBR2A032432,358,346,227,298,407,313
CORRUBR2A032433,771,781,572,251,311,295
CORRUBR2A032435,389,478,789,149,411,386
CORRUBR2A032439,0,2,0,3,0,1
CORRUBR2A032441,257,155,114,107,118,89
CORRUBR2A032442,196,352,1,52,97,262
CORRUBR2A032444,822,719,432,1820,664,625
CORRUBR2A032446,2133,6612,1411,1393,1071,2345
CORRUBR2A032448,1408,1175,1063,1347,1096,955
CORRUBR2A032450,265,178,70,136,130,217
CORRUBR2A032451,32,0,4,166,1,0
CORRUBR2A032453,139,192,439,294,234,199
CORRUBR2A032456,3,11,1,8,16,3
CORRUBR2A032459,352,199,117,145,125,126
CORRUBR2A032462,939,1449,949,868,1043,1454
CORRUBR2A032464,43865,19946,18417,5190,4357,3818
CORRUBR2A032467,184,214,147,88,76,199
CORRUBR2A032471,450,181,218,138,141,105
CORRUBR2A032472,193,42,26,43,39,35
CORRUBR2A032474,181,194,144,96,190,433
CORRUBR2A032477,37,7,19,3,22,3
CORRUBR2A032481,3748,3904,2918,1679,4490,2041
CORRUBR2A032483,2,11,0,3,2,12
CORRUBR2A032486,171,141,71,132,268,128
