,CAS1_C0,CAS2_C0,CAS3_C0,LOP1_C0,LOP2_C0,LOP5_C0
CORRUBR2A000906,1,6,7,1,15,2
CORRUBR2A000907,1484,1313,950,847,1277,1293
CORRUBR2A000908,10,11,6,5,13,14
CORRUBR2A000910,9,13,6,7,16,9
CORRUBR2A000911,138,169,126,109,97,98
CORRUBR2A000912,1464,2824,1834,854,953,1644
CORRUBR2A000916,31,30,43,50,61,33
CORRUBR2A000917,24,13,8,42,35,33
CORRUBR2A000919,77,63,23,42,48,17
CORRUBR2A000922,25,9,24,7,46,20
CORRUBR2A000923,137,2,0,0,36,272
CORRUBR2A000927,26,10,9,7,7,14
CORRUBR2A000928,1033,156,90,271,244,159
CORRUBR2A000930,149,212,71,58,102,78
CORRUBR2A000933,79,107,90,60,119,192
CORRUBR2A000934,548,150,57,88,103,51
CORRUBR2A000941,510,172,105,155,144,153
CORRUBR2A000942,1065,1423,830,1096,852,670
CORRUBR2A000943,2,17,2,3,5,13
CORRUBR2A000949,249,409,342,131,203,246
CORRUBR2A000951,105,40,44,30,63,13
CORRUBR2A000952,137,101,56,89,51,51
CORRUBR2A000953,156,120,60,94,108,54
CORRUBR2A000954,207,109,75,103,127,137
CORRUBR2A000956,324,458,229,223,396,264
CORRUBR2A000957,1966,1578,1220,960,1260,1077
CORRUBR2A000958,4589,3407,5092,1922,1612,1468
CORRUBR2A000959,1246,991,728,500,531,1038
CORRUBR2A000962,306,430,197,269,371,483
CORRUBR2A000964,12,9,6,6,11,13
CORRUBR2A000965,31,37,25,18,27,14
CORRUBR2A000968,159,107,109,95,70,75
CORRUBR2A000974,2950,902,580,818,1015,1054
CORRUBR2A000975,87,258,135,132,66,62
CORRUBR2A000976,1774,1583,1204,587,736,756
CORRUBR2A000977,253,161,309,52,218,236
CORRUBR2A000978,178,66,80,80,129,33
CORRUBR2A000979,46,38,19,19,26,38
CORRUBR2A000982,79,22,9,19,30,24
CORRUBR2A000985,43,53,117,0,59,59
CORRUBR2A000986,48,4,79,0,0,4
CORRUBR2A000989,19,59,15,7,16,12
CORRUBR2A000990,439,660,444,318,420,377
CORRUBR2A000996,365,222,149,210,116,295
CORRUBR2A000997,587,419,416,280,194,458
CORRUBR2A000998,78,75,53,39,61,58
CORRUBR2A000999,77,127,95,176,85,59
CORRUBR2A001000,1347,834,1007,859,699,849
CORRUBR2A001003,1,8,1,4,2,17
CORRUBR2A001006,37,71,55,15,15,12
CORRUBR2A001009,514,207,194,269,261,233
CORRUBR2A001012,633,540,790,424,431,490
CORRUBR2A001013,71,129,10,54,31,51
CORRUBR2A001015,22,0,5,6,0,0
CORRUBR2A001016,266,354,205,184,314,337
CORRUBR2A001017,86,263,150,61,196,129
CORRUBR2A001018,333,256,232,186,211,188
CORRUBR2A001020,4,3,2,7,6,8
CORRUBR2A001022,129,77,56,94,69,48
CORRUBR2A001023,862,623,362,629,703,613
CORRUBR2A001024,899,647,361,639,540,438
CORRUBR2A001026,212,287,120,28,110,103
CORRUBR2A001027,164,51,75,112,146,156
CORRUBR2A001031,2065,971,454,857,498,497
CORRUBR2A001032,731,440,217,269,495,176
CORRUBR2A001033,59,36,21,53,65,88
CORRUBR2A001035,931,441,566,582,37,554
CORRUBR2A001038,275,201,198,309,248,215
CORRUBR2A001040,385,340,329,259,462,312
CORRUBR2A001041,4,2,3,3,6,1
CORRUBR2A001044,74,47,22,31,36,38
CORRUBR2A001046,364,502,298,266,280,108
CORRUBR2A001048,883,1002,675,524,644,579
CORRUBR2A001050,9,5,6,7,9,14
CORRUBR2A001056,60,36,9,8,13,28
CORRUBR2A001057,0,1,0,0,0,0
CORRUBR2A001059,197,255,197,86,172,403
CORRUBR2A001062,865,1425,1135,1007,1312,575
CORRUBR2A001064,84,58,54,56,39,28
CORRUBR2A001065,7,10,0,3,11,3
CORRUBR2A001067,11,6,2,158,11,8
CORRUBR2A001069,648,863,434,298,451,363
CORRUBR2A001072,42,29,37,11,24,13
CORRUBR2A001078,23,31,12,20,21,41
CORRUBR2A001079,61,44,8,18,19,23
CORRUBR2A001080,178,161,134,72,69,54
CORRUBR2A001081,174,236,236,0,53,70
CORRUBR2A001084,227,268,191,209,272,162
CORRUBR2A001085,0,83,0,36,123,109
